Rank,Continent,Summer Olympics,Winter Olympics,Summer Youth Olympics,Winter Youth Olympics,Total
1,Europe,"17 (1896,?1900,?1908,?1912,?1916,?1920,?1924,?1928,?1936,?1940,?1944,?1948,?1952,?1960,?1972,?1980,?1992,?2004,?2012,?2024)","14 (1924,?1928,?1936,?1940,?1944,?1948,?1952,?1956,?1964,?1968,?1976,?1984,?1992,?1994,?2006,?2014)",0,"3 (2012,?2016,?2020)",34
2,North America,"7 (1904,?1932,?1968,?1976,?1984,?1996,?2028)","6 (1932,?1960,?1980,?1988,?2002,?2010)",0,0,13
3,Asia,"4 (1940,?1964,?1988,?2008,?2020)","4 (1940,?1972,?1998,?2018,?2022)","2 (2010,?2014)",0,10
4,Oceania,"2 (1956,?2000)",0,0,0,2
5,South America,1 (2016),0,1 (2018),0,2
6,Africa,0,0,1 (2022),0,1
